the_date	id	 value1 	 value2 	 value3	 value4	 value5
2020-01-01	A1029	527.3998275	751.8710904	106.948547	23396.02276	1007.645957
2020-01-02	A1029	505.5326139	504.738142	194.5720481	11140.77039	1002.489356
2020-01-03	A1029	524.7400722	717.6718156	167.4062059	943.3793967	1005.140107
2020-01-04	A1029	524.7400722	717.6718156	105.3210817	3598.221718	1005.140107
2020-01-05	A1029	524.7400723	691.9463228	164.0813652	28750.87484	999.5027359
2020-01-06	A1029	524.7400724	908.5412257	182.6815502	28750.87484	1008.846711
2020-01-07	A1029	524.7400725	491.1317648	115.2530362	10267.09424	1002.268034
2020-01-08	A1029	524.7400726	500.2062626	115.2530362	24235.95141	1006.137574
2020-01-09	A1029	524.7400727	470.5343541	115.2530362	6614.27531	1004.342238
2020-01-10	A1029	524.7400728	981.2035901	115.2530362	18832.26594	1004.342238
2020-01-11	A1029	524.7400729	981.2035901	115.2530362	18134.16471	1004.342238
2020-01-12	A1029	524.7400730	981.2035901	126.7927798	20099.10184	1004.342238
2020-01-13	A1029	524.7400731	981.2035901	124.5343908	23833.61227	1004.342238
2020-01-14	A1029	524.7400732	981.2035901	178.5977257	23833.61228	1003.118354
2020-01-15	A1029	524.7400733	981.2035901	175.2717636	23833.61229	999.145431
2020-01-16	A1029	524.7400734	981.2035901	151.0381951	23833.61230	1000.111845
2020-01-17	A1029	524.7400735	981.2035901	164.5369872	23833.61231	1003.852623
2020-01-18	A1029	524.7400736	383.1379687	100.0736913	23833.61232	1003.518364
2020-01-19	A1029	524.7400737	795.7181297	188.2834512	23833.61233	1000.960012
2020-01-20	A1029	524.7400738	756.5973352	108.3384304	23833.61234	1002.386925
2020-01-21	A1029	524.7400739	301.4501776	114.7042222	23833.61235	1007.048534
2020-01-22	A1029	502.9957055	298.1549422	181.0232838	23833.61236	999.8189345
2020-01-23	A1029	518.6823174	304.9583119	183.7222096	23833.61237	1006.978465
2020-01-24	A1029	524.7262836	304.9583119	147.9061556	882.4792794	1005.993532
2020-01-25	A1029	503.1531049	304.9583119	101.4407648	9224.259585	1000.382231
2020-01-26	A1029	508.0334657	304.9583119	103.4829745	5502.879129	1000.26354
2020-01-27	A1029	529.0343859	304.9583119	158.9883112	20785.35544	1003.102037
2020-01-28	A1029	531.2297385	304.9583119	141.1106538	9431.683865	1007.351911
2020-01-29	A1029	531.2297385	304.9583119	176.6257337	11386.48962	1007.351911
2020-01-30	A1029	531.2297385	304.9583119	128.8957849	19652.8611	1005.396158
2020-01-31	A1029	531.2297385	794.4905671	190.7297652	24935.34942	999.9732889
2020-02-01	A1029	531.2297385	346.4294547	135.7651354	4083.093607	1000.425783
2020-02-02	A1029	531.2297385	103.3708197	112.728912	24140.88986	1005.04353
2020-02-03	A1029	531.2297385	62.76440654	161.41475	2809.450411	1008.441789
2020-02-04	A1029	504.0929537	418.3444823	149.3373395	27156.69815	1007.246705
2020-02-05	A1029	512.931405	614.6123742	110.6416895	12683.98289	1001.214602
2020-02-06	A1029	516.9544361	396.9120707	193.9040587	761.6074194	1007.926196
2020-02-07	A1029	501.6928866	216.2225743	171.2128189	23875.08059	1005.046161
2020-02-08	A1029	511.6414903	58.45023774	168.9434576	6955.047916	1000.152672
2020-02-09	A1029	511.6414903	985.6192616	111.2029843	22630.6189	1000.152672
2020-02-10	A1029	521.8639121	169.6267219	124.2119556	15370.61844	1004.006206
2020-02-11	A1029	504.7573915	744.7551325	124.2119556	5363.818993	999.6001808
2020-02-12	A1029	521.0418803	757.9314781	190.9993381	1279.329414	1006.562612
2020-02-13	A1029	501.8623486	867.5383864	151.6302696	20773.90466	1002.990717
2020-02-14	A1029	502.502914	291.8007728	175.2016195	5668.741689	1006.769581
2020-02-15	A1029	505.6234565	778.3326911	113.8208615	11865.21884	1006.827953
2020-02-16	A1029	527.8329375	469.4248217	117.2823204	25617.48373	999.86879
2020-02-17	A1029	518.1600494	255.841999	122.4226271	23441.52846	1001.856486
2020-02-18	A1029	530.1081296	217.6452884	141.9519288	23441.52846	1006.300253
2020-02-19	A1029	503.7999647	91.65992509	154.4191281	631.5618216	1006.300253
2020-02-20	A1029	504.0564852	258.5167842	134.0066431	5600.709921	1003.757315
2020-02-21	A1029	509.7950626	946.8517138	196.7482582	5094.747329	1006.836871
2020-02-22	A1029	514.2349563	311.61993	121.5586274	28341.07571	1001.159775
2020-02-23	A1029	502.6477952	995.5941488	189.0072106	25167.80482	1004.511638
2020-02-24	A1029	529.180962	507.9345606	116.4197564	18483.28678	1002.730031
2020-02-25	A1029	529.180962	74.52877538	154.3444529	759.8672738	1005.547884
2020-02-26	A1029	529.180962	114.4126366	172.8595598	28998.8837	1008.315435
2020-02-27	A1029	529.180962	501.9411086	175.6085119	24607.05999	1002.448217
2020-02-28	A1029	529.180962	159.317453	120.4788554	8007.490084	1006.791579
2020-02-29	A1029	529.180962	403.889757	194.7773512	18142.92421	1001.243004
2020-03-01	A1029	529.180962	565.3862225	150.8756074	15393.62699	1008.659847
2020-03-02	A1029	529.180962	181.423187	164.2022233	2775.78337	1005.09946
2020-03-03	A1029	529.180962	998.4135137	131.8928102	22053.3365	999.6826394
2020-03-04	A1029	529.180962	254.5957446	126.6521443	17054.00309	1005.258035
2020-03-05	A1029	529.180962	137.6091437	103.1375005	10929.21458	1003.996882
2020-03-06	A1029	529.180962	869.9321248	146.047399	16210.53447	1000.653353
2020-03-07	A1029	529.180962	338.0127601	176.8739934	19029.37002	1007.982856
2020-03-08	A1029	529.180962	86.60383319	138.9962828	25689.79891	1008.537934
2020-03-09	A1029	529.180962	317.2204428	142.4398642	23013.87218	1008.814238
2020-03-10	A1029	509.7650785	455.2288575	195.3181398	26457.95592	1005.094478
2020-03-11	A1029	503.5552106	508.6802691	187.4318985	20835.16288	1005.223595
