the_date	id	 value1 	 value2 
2020-01-06	A1029	 1,090.00 	 104.96 
2020-01-07	A1030	 1,041.76 	 101.70 
2020-01-08	A1031	 1,092.64 	 108.26 
2020-01-09	A1032	 1,004.16 	 100.17 
2020-01-10	A1033	 1,029.79 	 108.16 
2020-01-13	A1036	 1,052.58 	 101.10 
2020-01-14	A1037	 1,036.60 	 105.32 
2020-01-15	A1038	 1,083.52 	 99.78 
2020-01-16	A1039	 1,016.73 	 99.37 
2020-01-17	A1040	 1,008.32 	 102.53 
2020-01-20	A1043	 1,038.52 	 103.65 
2020-01-21	A1044	 1,044.86 	 104.79 
2020-01-22	A1045	 1,011.58 	 107.34 
2020-01-23	A1046	 1,034.92 	 107.43 
2020-01-24	A1047	 1,093.83 	 107.60 
2020-01-27	A1050	 1,053.93 	 104.78 
2020-01-28	A1051	 1,018.16 	 99.58 
2020-01-29	A1052	 1,052.33 	 100.56 
2020-01-30	A1053	 1,035.36 	 108.78 
2020-01-31	A1054	 1,073.53 	 104.01 
2020-02-03	A1057	 1,081.45 	 99.66 
2020-02-04	A1058	 1,050.07 	 106.30 
2020-02-05	A1059	 1,023.21 	 103.14 
2020-02-06	A1060	 1,031.46 	 105.34 
2020-02-07	A1061	 1,072.15 	 99.21 
